SPCD,COMMON_NAME,GENUS,MYCO_ASSO,SPECIES,VARIETY,SUBSPECIES,SPECIES_SYMBOL,E_SPGRPCD,C_SPGRPCD,P_SPGRPCD,MAJOR_SPGRPCD,STOCKING_SPGRPCD,FOREST_TYPE_SPGRPCD,EXISTS_IN_NCRS,EXISTS_IN_NERS,EXISTS_IN_SRS,SFTWD_HRDWD,EAST,WEST,CARIBBEAN,ref
821,California white oak,Quercus,ECM,lobata,,,QULO,43,NA,NA,4,29,226,,,,H,,W,,10.1007/s005720050185
801,California live oak,Quercus,EITHER,agrifolia,,,QUAG,43,NA,NA,4,29,138,,,,H,,W,,10.1007/s005720100134
41,Port-Orford-cedar,Chamaecyparis,AM,lawsoniana,,,CHLA,9,NA,NA,2,18,8,,,,S,,W,,10.1111/j.1439-0434.1981.tb03382.x
807,blue oak,Quercus,ECM,douglasii,,,QUDO,43,NA,NA,4,29,134,,,,H,,W,,10.1111/j.1469-8137.2007.02348.x
839,interior live oak,Quercus,ECM,wislizeni,,,QUWI2,43,NA,NA,4,29,225,,,,H,,W,,10.1111/j.1469-8137.2007.02348.x
352,white alder,Alnus,ECM,rhombifolia,,,ALRH2,43,NA,NA,3,26,131,,,,H,,W,,10.1111/nph.12170
360,madrone spp.,Arbutus,ABM,spp.,,,ARBUT,43,,,4,37,221,,,X,H,,W,,10.1111/nph.12221
362,Arizona madrone,Arbutus,ABM,arizonica,,,ARAR2,43,,,4,37,221,,,X,H,,W,,10.1111/nph.12221
363,Texas madrone,Arbutus,ABM,xalapensis,,,ARXA80,48,,,4,29,160,,,X,H,E,W,,10.1111/nph.12221
40,white-cedar spp.,Chamaecyparis,AM,spp.,,,CHAMA4,9,,,2,20,220,,X,,S,E,W,,10.1111/nph.12221
43,Atlantic white-cedar,Chamaecyparis,AM,thyoides,,,CHTH2,9,,,2,16,59,,X,X,S,E,,,10.1111/nph.12221
50,cypress,Cupressus,AM,spp.,,,CUPRE,9,52,,2,10,12,,,X,S,,W,C,10.1111/nph.12221
51,Arizona cypress,Cupressus,AM,arizonica,,,CUAR,9,,,2,10,12,,,X,S,,W,,10.1111/nph.12221
57,redcedar/juniper spp.,Juniperus,AM,spp.,,,JUNIP,9,,,2,20,220,X,X,X,S,E,W,,10.1111/nph.12221
58,Pinchot juniper,Juniperus,AM,pinchotii,,,JUPI,23,,,2,38,161,,,X,S,,W,,10.1111/nph.12221
