state_name,STATECD,east,west,midwest,paleon
Alabama,1,1,0,0,0
Alaska,2,0,1,0,0
Arizona,4,0,1,0,0
Arkansas,5,0,1,0,0
California,6,0,1,0,0
Colorado,8,0,1,0,0
Connecticut,9,1,0,0,1
Deleware,10,1,0,0,0
District of Columbia,11,1,0,0,0
Florida,12,1,0,0,0
Georgia,13,1,0,0,0
Hawaii,15,0,0,0,0
Idaho,16,0,1,0,0
Illinois,17,1,0,1,1
Indiana,18,1,0,1,1
Iowa,19,0,1,1,0
Kansas,20,0,1,1,0
Kentucky,21,1,0,0,0
Louisiana,22,0,1,0,0
Maine,23,1,0,0,1
Maryland,24,1,0,0,0
Massachusetts,25,1,0,0,1
Michigan,26,1,0,1,1
Minnesota,27,0,1,1,1
Mississippi,28,1,0,0,0
Missouri,29,0,1,1,0
Montana,30,0,1,0,0
Nebraska,31,0,1,1,0
Nevada,32,0,1,0,0
New Hampshire,33,1,0,0,1
New Jersey,34,1,0,0,1
New Mexico,35,0,1,0,0
New York,36,1,0,0,1
North Carolina,37,1,0,0,0
North Dakota,38,0,1,1,0
Ohio,39,1,0,1,1
Oklahoma,40,0,1,0,0
Oregon,41,0,1,0,0
Pennsylvania,42,1,0,0,1
Rhode Island,44,1,0,0,1
South Carolina,45,1,0,0,0
South Dakota,46,0,1,1,0
Tennessee,47,1,0,0,0
Texas,48,0,1,0,0
Utah,49,0,1,0,0
Vermont,50,1,0,0,1
Virginia,51,1,0,0,0
Washington,53,0,1,0,0
West Virginia,54,1,0,0,0
Wisconsin,55,1,0,1,1
Wyoming,56,0,1,0,0
